School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Massachusetts Institute of Technology (MIT),1,"$72,200.00 ","$126,000.00 ","$76,800.00 ","$99,200.00 ","$168,000.00 ","$220,000.00 "
California Institute of Technology (CIT),1,"$75,500.00 ","$123,000.00 ",,"$104,000.00 ","$161,000.00 ",
Harvey Mudd College,1,"$71,800.00 ","$122,000.00 ",,"$96,000.00 ","$180,000.00 ",
"Polytechnic University of New York, Brooklyn",1,"$62,400.00 ","$114,000.00 ","$66,800.00 ","$94,300.00 ","$143,000.00 ","$190,000.00 "
Cooper Union,1,"$62,200.00 ","$114,000.00 ",,"$80,200.00 ","$142,000.00 ",
Worcester Polytechnic Institute (WPI),1,"$61,000.00 ","$114,000.00 ","$80,000.00 ","$91,200.00 ","$137,000.00 ","$180,000.00 "
Carnegie Mellon University (CMU),1,"$61,800.00 ","$111,000.00 ","$63,300.00 ","$80,100.00 ","$150,000.00 ","$209,000.00 "
Rensselaer Polytechnic Institute (RPI),1,"$61,100.00 ","$110,000.00 ","$71,600.00 ","$85,500.00 ","$140,000.00 ","$182,000.00 "
Georgia Institute of Technology,1,"$58,300.00 ","$106,000.00 ","$67,200.00 ","$85,200.00 ","$137,000.00 ","$183,000.00 "
Colorado School of Mines,1,"$58,100.00 ","$106,000.00 ","$62,200.00 ","$87,900.00 ","$142,000.00 ","$201,000.00 "
Stevens Institute of Technology,1,"$60,600.00 ","$105,000.00 ","$68,700.00 ","$81,900.00 ","$138,000.00 ","$185,000.00 "
Illinois Institute of Technology (IIT),1,"$56,000.00 ","$97,800.00 ","$56,100.00 ","$77,400.00 ","$121,000.00 ","$165,000.00 "
Wentworth Institute of Technology,1,"$53,000.00 ","$96,700.00 ","$55,200.00 ","$74,000.00 ","$117,000.00 ","$153,000.00 "
Virginia Polytechnic Institute and State University (Virginia Tech),1,"$53,500.00 ","$95,400.00 ","$50,600.00 ","$71,400.00 ","$124,000.00 ","$163,000.00 "
South Dakota School of Mines & Technology,1,"$55,800.00 ","$93,400.00 ","$71,500.00 ","$81,900.00 ","$122,000.00 ","$147,000.00 "
New Mexico Institute of Mining and Technology (New Mexico Tech),1,"$51,000.00 ","$93,400.00 ",,"$67,400.00 ","$123,000.00 ",
Rochester Institute of Technology (RIT),1,"$48,900.00 ","$84,600.00 ","$45,000.00 ","$62,100.00 ","$112,000.00 ","$159,000.00 "
Embry-Riddle Aeronautical University (ERAU),1,"$52,700.00 ","$80,700.00 ","$49,800.00 ","$64,000.00 ","$106,000.00 ","$142,000.00 "
Tennessee Technological University,1,"$46,200.00 ","$80,000.00 ","$42,100.00 ","$62,600.00 ","$99,500.00 ","$121,000.00 "
